 3916  3917  17.622650 -15.168620  17.622650 -15.168620  0.1572  0.0286  0.1572  0.0286 13.60  3.51 13.60  3.51 555 555 1  0.0000    2.5  66.0 2 0
 3952  3967  17.838560  12.120700  17.902740  12.085300 -0.0164 -0.2304  0.0003 -0.2886 17.30  4.14 12.27  3.36 555 555 6  0.0605  259.4 119.4 2 0
 3963  3964  17.924200  26.828280  17.924200  26.828280  0.2173 -0.0048  0.2173 -0.0048 14.17  2.58 14.17  2.58 555 555 1  0.0000    3.0  77.0 2 0
 4012  4013  18.110770 -13.138520  18.110220 -13.142560  0.2047 -0.0596  0.2056 -0.0614 16.07  3.96 15.10  3.72 555 555 1  0.0020   14.7 187.6 2 0
 4017  4018  18.142280  -4.702220  18.143840  -4.715360  0.1899 -0.0574  0.1902 -0.0608 16.13  3.74 17.96  4.52 555 555 1  0.0034   47.6 173.3 2 0
 4030  4031  18.180010 -10.297070  18.180470 -10.298140  0.1948 -0.1345  0.1948 -0.1345 15.07  2.69 17.82  3.15 555 576 4  0.0000    3.0 150.0 2 0
 4032  4049  18.257090  26.556380  18.336480  26.550690  0.2278 -0.2058  0.2400 -0.1838 15.30  4.01 18.94  4.10 566 555 5  0.0252  256.5  94.6 3 0
 4121  4123  18.593472  -7.910898  18.600168  -7.922823  0.1233  0.2716  0.1246  0.2787  7.85  1.40  5.14 -9.00 222 121 1  0.0072   49.1 150.9 2 0
 4124  4129  18.700100  43.153990  18.708181  43.151785  0.2034 -0.1968  0.2111 -0.1916 17.14  3.63  9.98  1.18 555 121 1  0.0093   22.7 110.5 2 0
 4208  4209  18.965830 -12.610930  18.965830 -12.610930  0.3292  0.0789  0.3292  0.0789 16.67  4.28 18.62 -9.00 555 576 1  0.0000    1.5 180.0 1 0
 4236  4248  19.051570 -32.288070  19.090800 -31.970070  0.3885  0.0175  0.4085 -0.0013 16.32  2.46 15.89  3.99 555 555 5  0.0274 1151.0   6.0 2 0
 4238  4239  19.076600 -20.947450  19.077280 -20.952190 -0.1028 -0.2363 -0.1047 -0.2367 13.02  2.81 13.64  3.23 555 555 1  0.0019   17.2 172.4 2 0
 4292  4293  19.369394  -4.660799  19.370205  -4.660568 -0.2694 -0.2594 -0.2694 -0.2594 17.39  0.84 17.61  0.82 566 566 3  0.0000    2.5  68.0 0 0
 4337  4342  19.636600  38.904210  19.644011  38.912132 -0.1509 -0.2273 -0.1569 -0.2250 13.18  3.45  9.53  1.41 555 222 1  0.0064   35.3  36.1 2 0
 4346  4370  19.552740 -25.453600  19.699934 -25.484962  0.1926 -0.0301  0.1976 -0.0182 15.71  3.11 11.92  1.30 555 222 1  0.0129  491.6 103.3 3 0
 4361  4362  19.667620  -0.874430  19.671255  -0.867563  0.4339 -0.2486  0.4339 -0.2486 11.94  3.94  8.00  1.47 576 121 1  0.0119   28.0  27.9 2 1
 4410  4412  20.014861  38.990459  20.017980  38.992680  0.3355  0.1931  0.3355  0.1931 12.03  3.20 14.48  4.02 121 576 1  0.0338   11.8  47.5 2 0
 4468  4469  20.296410  41.146770  20.298290  41.149470  0.2764  0.0116  0.2807  0.0106 14.87  3.99 16.44  4.08 555 555 1  0.0044   11.0  27.7 2 0
 4483  4484  20.271060  -4.035650  20.271060  -4.035650  0.1574 -0.0006  0.1574 -0.0006 12.17  2.47 13.43 -9.00 555 576 4  0.0000   11.0 135.0 1 0
 4522  4524  20.448220  -0.181840  20.448220  -0.181840 -0.1079 -0.1323 -0.1079 -0.1323 18.67  3.78 15.55 -9.00 555 576 3  0.0110    9.0  84.0 1 0
 4525  4541  20.423890 -18.504080  20.479200 -18.519240  0.1798 -0.1493  0.1482 -0.1698 15.40  3.66 15.43  2.57 555 555 5  0.0377  196.6 106.1 2 0
